2022 Federal Election Senate First Preferences By Division By Candidate By Vote Type  [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:16 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,Group,BallotPosition,CandidateID,CandidateDetails,PartyName,PartyAb,Elected,HistoricElected,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes
SA,183,Grey,P,3,36508,"SELWOOD, Melanie",The Greens,GRN,N,N,34,2,0,1,3,40
SA,183,Grey,Q,0,38198,Q Above-the-line Votes,Informed Medical Options Party,IMO,N,N,165,1,1,10,24,201
SA,183,Grey,Q,1,36576,"CRUISE, Raina",Informed Medical Options Party,IMO,N,N,15,0,0,1,4,20
SA,183,Grey,Q,2,36579,"HARLEY, Heather",Informed Medical Options Party,IMO,N,N,6,0,0,0,0,6
SA,183,Grey,R,0,38207,R Above-the-line Votes,Rex Patrick Team,RPT,N,N,2169,50,2,46,385,2652
SA,183,Grey,R,1,37677,"PATRICK, Rex",Rex Patrick Team,RPT,N,Y,384,8,0,23,124,539
SA,183,Grey,R,2,37683,"McMAHON, Leonie",Rex Patrick Team,RPT,N,N,5,0,0,0,1,6
SA,183,Grey,S,0,38196,S Above-the-line Votes,Pauline Hanson's One Nation,ON,N,N,4928,155,47,227,730,6087
SA,183,Grey,S,1,36751,"GAME, Jennifer",Pauline Hanson's One Nation,ON,N,N,331,13,6,13,60,423
SA,183,Grey,S,2,36762,"WATCHMAN, Alan",Pauline Hanson's One Nation,ON,N,N,25,1,1,1,10,38
SA,183,Grey,T,0,38194,T Above-the-line Votes,Legalise Cannabis Australia,HMP,N,N,2651,107,23,73,264,3118
SA,183,Grey,T,1,36470,"GREEN, Tyler Bradley",Legalise Cannabis Australia,HMP,N,N,129,6,1,6,8,150
