Division,State,Party,Senate Vote
Sydney,NSW,ALP,0.37290188781641276
Sydney,NSW,GRN,0.27033182152963525
Sydney,NSW,L/NP,0.20414195449083228
Sydney,NSW,ON,0.013034461371477303
Sydney,NSW,UAPP,0.018093189130519053
Warringah,NSW,ALP,0.23945762425037284
Warringah,NSW,GRN,0.1857065797962918
Warringah,NSW,L/NP,0.4126942155753223
Warringah,NSW,ON,0.016087237035548457
Warringah,NSW,UAPP,0.021766951886363396
Watson,NSW,ALP,0.43131406015206225
Watson,NSW,GRN,0.08984681633660035
Watson,NSW,L/NP,0.27216453226276716
Watson,NSW,ON,0.03608675174378182
Watson,NSW,UAPP,0.05039585529414403
Wentworth,NSW,ALP,0.22712049136590184
Wentworth,NSW,GRN,0.20546996514571814
Wentworth,NSW,L/NP,0.4292866793065474
Wentworth,NSW,ON,0.012227381614650151
Wentworth,NSW,UAPP,0.019096059309045083
Werriwa,NSW,ALP,0.35709232739995794
Werriwa,NSW,GRN,0.06087604917499952
Werriwa,NSW,L/NP,0.3294935280959027
Werriwa,NSW,ON,0.04016022025505229
Werriwa,NSW,UAPP,0.06749134848861442
Whitlam,NSW,ALP,0.3540249174586381
Whitlam,NSW,GRN,0.09935061381587348
Whitlam,NSW,L/NP,0.3001313365316211
Whitlam,NSW,ON,0.05480564017438573
Whitlam,NSW,UAPP,0.042529322704802905
Lingiari,NT,ALP,0.3312981871223171
Lingiari,NT,GRN,0.10352156699312356
Lingiari,NT,L/NP,0.3485934569702021
Lingiari,NT,UAPP,0.006001250260470932
Solomon,NT,ALP,0.32832976791845686
Solomon,NT,GRN,0.13912308770920595
Solomon,NT,L/NP,0.28973340284394267
Solomon,NT,UAPP,0.0054829489276790044
Blair,QLD,ALP,0.2936104666998525
Blair,QLD,GRN,0.10757858947506833
Blair,QLD,L/NP,0.27026138572944747
Blair,QLD,ON,0.094034995444769
Blair,QLD,UAPP,0.04895229686957012
Bonner,QLD,ALP,0.2785519931303475
Bonner,QLD,GRN,0.15611906018188026
Bonner,QLD,L/NP,0.37509957892340956
Bonner,QLD,ON,0.04121791489493777
Bonner,QLD,UAPP,0.02624745233144004
Bowman,QLD,ALP,0.25599905549925717
Bowman,QLD,GRN,0.11778711346799028
Bowman,QLD,L/NP,0.37374681476963034
Bowman,QLD,ON,0.06037917769404079
Bowman,QLD,UAPP,0.046388760441160554
Brisbane,QLD,ALP,0.24724856998045036
Brisbane,QLD,GRN,0.265594453696329
Brisbane,QLD,L/NP,0.34312323510245457
Brisbane,QLD,ON,0.01836398522916516
Brisbane,QLD,UAPP,0.016725798276735936
Capricornia,QLD,ALP,0.2629394899652935
Capricornia,QLD,GRN,0.05546573541141219
Capricornia,QLD,L/NP,0.3383129621246416
Capricornia,QLD,ON,0.13280087951885144
Capricornia,QLD,UAPP,0.03970768932289982
Dawson,QLD,ALP,0.22790692647710448
Dawson,QLD,GRN,0.06072690723989236
Dawson,QLD,L/NP,0.3648801997211685
Dawson,QLD,ON,0.13256384484864206
Dawson,QLD,UAPP,0.04125193182677863
Dickson,QLD,ALP,0.2754778972520908
Dickson,QLD,GRN,0.13513540422142573
Dickson,QLD,L/NP,0.3697232178414974
Dickson,QLD,ON,0.05400238948626045
Dickson,QLD,UAPP,0.027080844285145362
Fadden,QLD,ALP,0.2068834007720571
Fadden,QLD,GRN,0.09550253476582485
Fadden,QLD,L/NP,0.40615785312311053
Fadden,QLD,ON,0.07305706711315753
Fadden,QLD,UAPP,0.0592902655690433
Fairfax,QLD,ALP,0.21229290549384794
Fairfax,QLD,GRN,0.1373648977149482
Fairfax,QLD,L/NP,0.37881932757395564
Fairfax,QLD,ON,0.06656008078088185
Fairfax,QLD,UAPP,0.05185309847039904
Fisher,QLD,ALP,0.21252973102035944
Fisher,QLD,GRN,0.1329837546949758
Fisher,QLD,L/NP,0.3863150064742454
Fisher,QLD,ON,0.07392578035319075
Fisher,QLD,UAPP,0.049286914677711145
Flynn,QLD,ALP,0.259899099641793
Flynn,QLD,GRN,0.045512730871421964
Flynn,QLD,L/NP,0.33897357013005175
Flynn,QLD,ON,0.12680313673181803
Flynn,QLD,UAPP,0.05691511676688575
Forde,QLD,ALP,0.2626787771287603
